filename,time,duration,content,stdout,stderr
rand.seed,2022-05-25_09:31:08,0:0:0:0,b'5788be1014ef2f7fbcfa95802afc9002  /bin/bash\na7e7dd15fbc8602c16d52981f037362f  /bin/bunzip2\n6045834024c3ced15a5307b30482daf0  /bin/busybox\na7e7dd15fbc8602c16d52981f037362f  /bin/bzcat\n',b'D124816Z\nFGuardZ\n/bin/bash: FAILED\n/bin/bunzip2: FAILED\n/bin/busybox: FAILED open or read\n/bin/bzcat: FAILED\n',b'./Programs/md5sum/code_Bin/md5sum: /bin/busybox: No such file or directory\n./Programs/md5sum/code_Bin/md5sum: WARNING: 1 listed file could not be read\n./Programs/md5sum/code_Bin/md5sum: WARNING: 3 computed checksums did NOT match\n',,,
20220525093646084995_st1.seed,2022-05-25_09:31:08,0:0:5:37,b'lauObe1014ef2f7fbcfa95802afc9002  /bin/bash\na7e7dd15fbc8602c16d52981f037362f  /bin/bunzip2\n6045834024c3ced15a5307b30482daf0  /bin/busybox\na7e7dd15fbc8602c16d52981f037362f  /bin/bzcat\n',b'Successfully triggered bug 274comma crashing now!\nSuccessfully triggered bug 274comma crashing now!\nSuccessfully triggered bug 274comma crashing now!\n',b'AddressSanitizer:DEADLYSIGNAL\n=================================================================\n==2690==ERROR: AddressSanitizer: SEGV on unknown address 0x7fff5a112bf8 (pc 0x7fe83452eb20 bp 0x7ffcde662220 sp 0x7ffcde6617b0 T0)\n==2690==The signal is caused by a READ memory access.\n    #0 0x7fe83452eb20 in getdelim (/lib/x86_64-linux-gnu/libc.so.6+0x7fb20)\n    #1 0x45cf88 in __interceptor_getline.part.195 /root/whov1/LLVM/llvm/projects/compiler-rt/lib/asan/../sanitizer_common/sanitizer_common_interceptors.inc:5199\n    #2 0x4f783e in digest_check /root/datav5/lava_corpus/LAVA-M/md5sum/coreutils-8.24-lava-safe/src/md5sum.c:599:44\n    #3 0x4f6063 in main /root/datav5/lava_corpus/LAVA-M/md5sum/coreutils-8.24-lava-safe/src/md5sum.c:954:15\n    #4 0x7fe8344d0c86 in __libc_start_main (/lib/x86_64-linux-gnu/libc.so.6+0x21c86)\n    #5 0x41bfa9 in _start (/root/md5sumv3/Programs/md5sum/code_Bin/md5sum+0x41bfa9)\n\nAddressSanitizer can not provide additional info.\nSUMMARY: AddressSanitizer: SEGV (/lib/x86_64-linux-gnu/libc.so.6+0x7fb20) in getdelim\n==2690==ABORTING\n',,,
20220525093646652403_st1.seed,2022-05-25_09:31:08,0:0:5:37,b'Oualbe1014ef2f7fbcfa95802afc9002  /bin/bash\na7e7dd15fbc8602c16d52981f037362f  /bin/bunzip2\n6045834024c3ced15a5307b30482daf0  /bin/busybox\na7e7dd15fbc8602c16d52981f037362f  /bin/bzcat\n',b'Successfully triggered bug 274comma crashing now!\nSuccessfully triggered bug 274comma crashing now!\n',b'AddressSanitizer:DEADLYSIGNAL\n=================================================================\n==2693==ERROR: AddressSanitizer: SEGV on unknown address (pc 0x7fbb563beb20 bp 0x7ffe669d9250 sp 0x7ffe669d87e0 T0)\n==2693==The signal is caused by a READ memory access.\n==2693==Hint: this fault was caused by a dereference of a high value address (see register values below).  Disassemble the provided pc to learn which register was used.\n    #0 0x7fbb563beb20 in getdelim (/lib/x86_64-linux-gnu/libc.so.6+0x7fb20)\n    #1 0x45cf88 in __interceptor_getline.part.195 /root/whov1/LLVM/llvm/projects/compiler-rt/lib/asan/../sanitizer_common/sanitizer_common_interceptors.inc:5199\n    #2 0x4f783e in digest_check /root/datav5/lava_corpus/LAVA-M/md5sum/coreutils-8.24-lava-safe/src/md5sum.c:599:44\n    #3 0x4f6063 in main /root/datav5/lava_corpus/LAVA-M/md5sum/coreutils-8.24-lava-safe/src/md5sum.c:954:15\n    #4 0x7fbb56360c86 in __libc_start_main (/lib/x86_64-linux-gnu/libc.so.6+0x21c86)\n    #5 0x41bfa9 in _start (/root/md5sumv3/Programs/md5sum/code_Bin/md5sum+0x41bfa9)\n\nAddressSanitizer can not provide additional info.\nSUMMARY: AddressSanitizer: SEGV (/lib/x86_64-linux-gnu/libc.so.6+0x7fb20) in getdelim\n==2693==ABORTING\n',,,
20220525093648765887_st1.seed,2022-05-25_09:31:08,0:0:5:40,b'lauObe1014ef2f7fbcfa95802afc9002  /bin/bash\na7e7dd15fbc8602c16d52981f037362f  /bin/bunzip2\n6045834024c3ced15a5307b30482daf0  /bin/busybox\na7e7dd15fbc8602c16d52981f037362f  /bin/bzcat\n',b'Successfully triggered bug 274comma crashing now!\nSuccessfully triggered bug 274comma crashing now!\nSuccessfully triggered bug 274comma crashing now!\n',b'AddressSanitizer:DEADLYSIGNAL\n=================================================================\n==2705==ERROR: AddressSanitizer: SEGV on unknown address 0x7fff33d8ea48 (pc 0x7f436620bb20 bp 0x7ffcb82de070 sp 0x7ffcb82dd600 T0)\n==2705==The signal is caused by a READ memory access.\n    #0 0x7f436620bb20 in getdelim (/lib/x86_64-linux-gnu/libc.so.6+0x7fb20)\n    #1 0x45cf88 in __interceptor_getline.part.195 /root/whov1/LLVM/llvm/projects/compiler-rt/lib/asan/../sanitizer_common/sanitizer_common_interceptors.inc:5199\n    #2 0x4f783e in digest_check /root/datav5/lava_corpus/LAVA-M/md5sum/coreutils-8.24-lava-safe/src/md5sum.c:599:44\n    #3 0x4f6063 in main /root/datav5/lava_corpus/LAVA-M/md5sum/coreutils-8.24-lava-safe/src/md5sum.c:954:15\n    #4 0x7f43661adc86 in __libc_start_main (/lib/x86_64-linux-gnu/libc.so.6+0x21c86)\n    #5 0x41bfa9 in _start (/root/md5sumv3/Programs/md5sum/code_Bin/md5sum+0x41bfa9)\n\nAddressSanitizer can not provide additional info.\nSUMMARY: AddressSanitizer: SEGV (/lib/x86_64-linux-gnu/libc.so.6+0x7fb20) in getdelim\n==2705==ABORTING\n',,,
20220525093649343013_st1.seed,2022-05-25_09:31:08,0:0:5:40,b'Oualbe1014ef2f7fbcfa95802afc9002  /bin/bash\na7e7dd15fbc8602c16d52981f037362f  /bin/bunzip2\n6045834024c3ced15a5307b30482daf0  /bin/busybox\na7e7dd15fbc8602c16d52981f037362f  /bin/bzcat\n',b'Successfully triggered bug 274comma crashing now!\nSuccessfully triggered bug 274comma crashing now!\n',b'AddressSanitizer:DEADLYSIGNAL\n=================================================================\n==2708==ERROR: AddressSanitizer: SEGV on unknown address (pc 0x7fa66ce9eb20 bp 0x7fff2694f060 sp 0x7fff2694e5f0 T0)\n==2708==The signal is caused by a READ memory access.\n==2708==Hint: this fault was caused by a dereference of a high value address (see register values below).  Disassemble the provided pc to learn which register was used.\n    #0 0x7fa66ce9eb20 in getdelim (/lib/x86_64-linux-gnu/libc.so.6+0x7fb20)\n    #1 0x45cf88 in __interceptor_getline.part.195 /root/whov1/LLVM/llvm/projects/compiler-rt/lib/asan/../sanitizer_common/sanitizer_common_interceptors.inc:5199\n    #2 0x4f783e in digest_check /root/datav5/lava_corpus/LAVA-M/md5sum/coreutils-8.24-lava-safe/src/md5sum.c:599:44\n    #3 0x4f6063 in main /root/datav5/lava_corpus/LAVA-M/md5sum/coreutils-8.24-lava-safe/src/md5sum.c:954:15\n    #4 0x7fa66ce40c86 in __libc_start_main (/lib/x86_64-linux-gnu/libc.so.6+0x21c86)\n    #5 0x41bfa9 in _start (/root/md5sumv3/Programs/md5sum/code_Bin/md5sum+0x41bfa9)\n\nAddressSanitizer can not provide additional info.\nSUMMARY: AddressSanitizer: SEGV (/lib/x86_64-linux-gnu/libc.so.6+0x7fb20) in getdelim\n==2708==ABORTING\n',,,
20220525093650925484_st1.seed,2022-05-25_09:31:08,0:0:5:42,b'/ualbe1014ef2f7fbcfa95802afc9002  /bin/bash\na7e7dd15fbc8602c16d52981f037362f  /bin/bunzip2\n6045834024c3ced15a5307b30482daf0  /bin/busybox\na7e7dd15fbc8602c16d52981f037362f  /bin/bzcat\n',b'Successfully triggered bug 306comma crashing now!\nSuccessfully triggered bug 306comma crashing now!\n',b'AddressSanitizer:DEADLYSIGNAL\n=================================================================\n==2726==ERROR: AddressSanitizer: SEGV on unknown address 0x60c06c61756f (pc 0x0000004fac1a bp 0x7ffcadf9afe0 sp 0x7ffcadf9afc0 T0)\n==2726==The signal is caused by a READ memory access.\n    #0 0x4fac1a in hex_digits /root/datav5/lava_corpus/LAVA-M/md5sum/coreutils-8.24-lava-safe/src/md5sum.c:430:12\n    #1 0x4f924b in digest_check /root/datav5/lava_corpus/LAVA-M/md5sum/coreutils-8.24-lava-safe/src/md5sum.c:663:47\n    #2 0x4f6063 in main /root/datav5/lava_corpus/LAVA-M/md5sum/coreutils-8.24-lava-safe/src/md5sum.c:954:15\n    #3 0x7f0afe2adc86 in __libc_start_main (/lib/x86_64-linux-gnu/libc.so.6+0x21c86)\n    #4 0x41bfa9 in _start (/root/md5sumv3/Programs/md5sum/code_Bin/md5sum+0x41bfa9)\n\nAddressSanitizer can not provide additional info.\nSUMMARY: AddressSanitizer: SEGV /root/datav5/lava_corpus/LAVA-M/md5sum/coreutils-8.24-lava-safe/src/md5sum.c:430:12 in hex_digits\n==2726==ABORTING\n',,,
20220525093651816621_st1.seed,2022-05-25_09:31:08,0:0:5:43,b'Sualbe1014ef2f7fbcfa95802afc9002  /bin/bash\na7e7dd15fbc8602c16d52981f037362f  /bin/bunzip2\n6045834024c3ced15a5307b30482daf0  /bin/busybox\na7e7dd15fbc8602c16d52981f037362f  /bin/bzcat\n',b'Successfully triggered bug 270comma crashing now!\nSuccessfully triggered bug 270comma crashing now!\n',b'AddressSanitizer:DEADLYSIGNAL\n=================================================================\n==2741==ERROR: AddressSanitizer: SEGV on unknown address 0x61bb723b0188 (pc 0x7f2468cbaa73 bp 0x7ffe81c1bf30 sp 0x7ffe81c1b670 T0)\n==2741==The signal is caused by a READ memory access.\n    #0 0x7f2468cbaa73 in getdelim (/lib/x86_64-linux-gnu/libc.so.6+0x7fa73)\n    #1 0x45cf88 in __interceptor_getline.part.195 /root/whov1/LLVM/llvm/projects/compiler-rt/lib/asan/../sanitizer_common/sanitizer_common_interceptors.inc:5199\n    #2 0x4f783e in digest_check /root/datav5/lava_corpus/LAVA-M/md5sum/coreutils-8.24-lava-safe/src/md5sum.c:599:44\n    #3 0x4f6063 in main /root/datav5/lava_corpus/LAVA-M/md5sum/coreutils-8.24-lava-safe/src/md5sum.c:954:15\n    #4 0x7f2468c5cc86 in __libc_start_main (/lib/x86_64-linux-gnu/libc.so.6+0x21c86)\n    #5 0x41bfa9 in _start (/root/md5sumv3/Programs/md5sum/code_Bin/md5sum+0x41bfa9)\n\nAddressSanitizer can not provide additional info.\nSUMMARY: AddressSanitizer: SEGV (/lib/x86_64-linux-gnu/libc.so.6+0x7fa73) in getdelim\n==2741==ABORTING\n',,,
20220525093652557304_st1.seed,2022-05-25_09:31:08,0:0:5:43,b'Mualbe1014ef2f7fbcfa95802afc9002  /bin/bash\na7e7dd15fbc8602c16d52981f037362f  /bin/bunzip2\n6045834024c3ced15a5307b30482daf0  /bin/busybox\na7e7dd15fbc8602c16d52981f037362f  /bin/bzcat\n',b'Successfully triggered bug 276comma crashing now!\nSuccessfully triggered bug 276comma crashing now!\n',b'AddressSanitizer:DEADLYSIGNAL\n=================================================================\n==2750==ERROR: AddressSanitizer: SEGV on unknown address 0x61bb723afc78 (pc 0x7f2070584a73 bp 0x7ffec2bcaba0 sp 0x7ffec2bca2e0 T0)\n==2750==The signal is caused by a READ memory access.\n    #0 0x7f2070584a73 in getdelim (/lib/x86_64-linux-gnu/libc.so.6+0x7fa73)\n    #1 0x45cf88 in __interceptor_getline.part.195 /root/whov1/LLVM/llvm/projects/compiler-rt/lib/asan/../sanitizer_common/sanitizer_common_interceptors.inc:5199\n    #2 0x4f783e in digest_check /root/datav5/lava_corpus/LAVA-M/md5sum/coreutils-8.24-lava-safe/src/md5sum.c:599:44\n    #3 0x4f6063 in main /root/datav5/lava_corpus/LAVA-M/md5sum/coreutils-8.24-lava-safe/src/md5sum.c:954:15\n    #4 0x7f2070526c86 in __libc_start_main (/lib/x86_64-linux-gnu/libc.so.6+0x21c86)\n    #5 0x41bfa9 in _start (/root/md5sumv3/Programs/md5sum/code_Bin/md5sum+0x41bfa9)\n\nAddressSanitizer can not provide additional info.\nSUMMARY: AddressSanitizer: SEGV (/lib/x86_64-linux-gnu/libc.so.6+0x7fa73) in getdelim\n==2750==ABORTING\n',,,
20220525093653111418_st1.seed,2022-05-25_09:31:08,0:0:5:44,b'Pualbe1014ef2f7fbcfa95802afc9002  /bin/bash\na7e7dd15fbc8602c16d52981f037362f  /bin/bunzip2\n6045834024c3ced15a5307b30482daf0  /bin/busybox\na7e7dd15fbc8602c16d52981f037362f  /bin/bzcat\n',b'Successfully triggered bug 273comma crashing now!\nSuccessfully triggered bug 273comma crashing now!\n',b'AddressSanitizer:DEADLYSIGNAL\n=================================================================\n==2753==ERROR: AddressSanitizer: BUS on unknown address (pc 0x7fce0a8cab14 bp 0x8000fe233c70 sp 0x7ffd9b178780 T0)\n==2753==The signal is caused by a READ memory access.\n==2753==Hint: this fault was caused by a dereference of a high value address (see register values below).  Disassemble the provided pc to learn which register was used.\n    #0 0x7fce0a8cab14 in getdelim (/lib/x86_64-linux-gnu/libc.so.6+0x7fb14)\n    #1 0x45cf88 in __interceptor_getline.part.195 /root/whov1/LLVM/llvm/projects/compiler-rt/lib/asan/../sanitizer_common/sanitizer_common_interceptors.inc:5199\n    #2 0x4f783e in digest_check /root/datav5/lava_corpus/LAVA-M/md5sum/coreutils-8.24-lava-safe/src/md5sum.c:599:44\n    #3 0x4f6063 in main /root/datav5/lava_corpus/LAVA-M/md5sum/coreutils-8.24-lava-safe/src/md5sum.c:954:15\n    #4 0x7fce0a86cc86 in __libc_start_main (/lib/x86_64-linux-gnu/libc.so.6+0x21c86)\n    #5 0x41bfa9 in _start (/root/md5sumv3/Programs/md5sum/code_Bin/md5sum+0x41bfa9)\n\nAddressSanitizer can not provide additional info.\nSUMMARY: AddressSanitizer: BUS (/lib/x86_64-linux-gnu/libc.so.6+0x7fb14) in getdelim\n==2753==ABORTING\n',,,
20220525093920419623_st1.seed,2022-05-25_09:31:08,0:0:8:11,b'5788be1014ef2f7fbcfa95802afc9002  /bin/bash\na7e7dd15fbc8602c16d52981f037362f  /bin/bunzip2\n6045834024c3ced15a5307b30482daf0  /bin/busybox\nlauOdd15fbc8602c16d52981f037362f  /bin/bzcat\n',b'D124816Z\nFc0x4f4f130x4f528c0x4f75eaZ\n/bin/bash: FAILED\n/bin/bunzip2: FAILED\n/bin/busybox: FAILED open or read\nSuccessfully triggered bug 274comma crashing now!\nSuccessfully triggered bug 274comma crashing now!\nSuccessfully triggered bug 274comma crashing now!\n',b'./Programs/md5sum/code_Bin/md5sum: /bin/busybox: No such file or directory\nAddressSanitizer:DEADLYSIGNAL\n=================================================================\n==4274==ERROR: AddressSanitizer: SEGV on unknown address 0x7ffefec86588 (pc 0x7fc5e0aa1b20 bp 0x7ffc831d5bb0 sp 0x7ffc831d5140 T0)\n==4274==The signal is caused by a READ memory access.\n    #0 0x7fc5e0aa1b20 in getdelim (/lib/x86_64-linux-gnu/libc.so.6+0x7fb20)\n    #1 0x45cf88 in __interceptor_getline.part.195 /root/whov1/LLVM/llvm/projects/compiler-rt/lib/asan/../sanitizer_common/sanitizer_common_interceptors.inc:5199\n    #2 0x4f783e in digest_check /root/datav5/lava_corpus/LAVA-M/md5sum/coreutils-8.24-lava-safe/src/md5sum.c:599:44\n    #3 0x4f6063 in main /root/datav5/lava_corpus/LAVA-M/md5sum/coreutils-8.24-lava-safe/src/md5sum.c:954:15\n    #4 0x7fc5e0a43c86 in __libc_start_main (/lib/x86_64-linux-gnu/libc.so.6+0x21c86)\n    #5 0x41bfa9 in _start (/root/md5sumv3/Programs/md5sum/code_Bin/md5sum+0x41bfa9)\n\nAddressSanitizer can not provide additional info.\nSUMMARY: AddressSanitizer: SEGV (/lib/x86_64-linux-gnu/libc.so.6+0x7fb20) in getdelim\n==4274==ABORTING\n',,,
